,공원명,면적,지역,공원주소,X좌표(WGS84),Y좌표(WGS84),구주소,lat,lng
48,동명근린공원,99599.9,강동구,서울특별시 강동구 고덕2동 229,127.1676703,37.5598341,서울 강동구 고덕2동 229,127.164992543126,37.5613463153383
49,마로니에공원,5802.0,종로구,서울특별시 종로구 대학로8길 1,127.00278859999999,37.5802295,서울 종로구 동숭동 1-124,127.002825745303,37.5802887643268
50,자매근린공원,16500.0,영등포구,서울특별시 영등포구 의사당대로 166 (우) 07324,126.9302895,37.5177329,서울 영등포구 여의도동 56,126.930451679472,37.5175732328357
51,장지근린공원,585652.0,송파구,서울특별시 송파구 장지동 산 11번지,127.1387,37.4957083,서울 송파구 장지동 산 11,127.136412509302,37.4896774878701
52,명일근린공원,649709.6,강동구,서울특별시 강동구 상일동 135,127.16136409999999,37.553714299999996,서울 강동구 상일동 산 57,127.1607170689184,37.55264318068513
53,방화근린공원,72132.0,강서구,서울특별시 강서구 금낭화로 176(방화공원),126.8132285,37.5819812,서울 강서구 방화동 산 133-2,126.814941354822,37.5819493300111
55,배봉산근린공원,265582.0,동대문구,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,127.06416229999999,37.5812324,서울 동대문구 휘경동,127.065084897046,37.5828044494855
56,안산도시자연공원,2088704.9,서대문구,서울특별시 서대문구 홍제동 산33-98,126.9390273,37.5798246,서울 서대문구 연희동,126.931173056562,37.5745203907731
57,염창근린공원,112070.0,강서구,서울특별시 강서구 염창동 산24-1,126.8689817,37.55797020000001,서울 강서구 염창동 233-1,126.862870399937,37.5627154390156
59,오금근린공원,219167.0,송파구,서울특별시 송파구 오금로 363 오금근린공원 ,127.13239569999999,37.5038715,서울 송파구 오금동 51,127.131654450682,37.5051909993325
60,오동근린공원,1349556.4,강북구,서울특별시 강북구 번동 산20-1,127.03172690000001,37.6327957,서울 성북구 하월곡동 산 2-1,127.041968117025,37.6099744140464
61,봉산도시자연공원,1511198.0,은평구,서울특별시 은평구 구산동 산61,126.90201529999999,37.604071000000005,서울 은평구 신사동 산 55-5,126.90413343105388,37.59759216865979
62,온수도시자연공원,1097565.0,구로구,서울특별시 구로구 개봉동 산2-60,126.83695,37.5002598,서울 구로구 온수동 7-12,126.824886722103,37.4945549681889
63,봉은공원,328018.0,강남구,서울특별시 강남구 삼성동 75,127.05549609999998,37.5139026,서울 강남구 삼성동 75,127.05552032441824,37.513890149065574
